supplier_id,supplier_name,country,city,lead_time_days,rating,payment_terms,active
SUP-001,Apex Industrial,USA,Chicago IL,7,4.5,Net 30,True
SUP-002,NovaParts Co,USA,Detroit MI,14,3.8,Net 45,True
SUP-003,IronCore Supply,Germany,Munich,21,4.9,Net 60,True
SUP-004,TechMech Ltd,Mexico,Monterrey,10,4.1,Net 30,False
SUP-005,PrecisionFab,USA,Erie PA,5,4.7,Net 30,True
SUP-006,AlloyWorks,Canada,Toronto,12,4.2,Net 45,True
SUP-007,GlobalParts Inc,USA,Houston TX,8,3.9,Net 30,True
SUP-008,SteelStream,Germany,Stuttgart,18,4.8,Net 60,True
SUP-009,OmniSupply,USA,Cleveland OH,6,4.0,Net 30,True
SUP-010,FastTrack Parts,Mexico,Guadalajara,9,3.7,Net 30,False
SUP-011,CoreMetals,USA,Pittsburgh PA,7,4.6,Net 30,True
SUP-012,PrimeCast,Canada,Montreal,15,4.3,Net 45,True
SUP-013,EliteFab,USA,Columbus OH,6,4.5,Net 30,True
SUP-014,DeltaComponents,Germany,Berlin,20,4.7,Net 60,True
SUP-015,MidwestMetal,USA,Indianapolis IN,5,4.1,Net 30,True
SUP-016,HeavyDuty Parts,USA,Fort Worth TX,8,3.8,Net 30,True
SUP-017,TurboSupply,Mexico,Tijuana,11,3.6,Net 45,False
SUP-018,BlueLine Mfg,USA,Milwaukee WI,7,4.4,Net 30,True
SUP-019,RapidCast,Canada,Vancouver,13,4.2,Net 45,True
SUP-020,Summit Parts,USA,Denver CO,9,4.0,Net 30,True
SUP-021,VanguardSupply,USA,Seattle WA,8,4.3,Net 30,True
SUP-022,CrestForge,Germany,Hamburg,22,4.9,Net 60,True
SUP-023,PeakMetals,USA,Phoenix AZ,10,3.9,Net 30,True
SUP-024,IronBridge Co,USA,St Louis MO,6,4.2,Net 30,True
SUP-025,ProBuild Parts,Canada,Calgary,14,4.4,Net 45,True
SUP-026,TerraFab,USA,Nashville TN,7,4.1,Net 30,True
SUP-027,NorthStar Parts,USA,Minneapolis MN,5,4.6,Net 30,True
SUP-028,RiverBend Supply,Mexico,Mexico City,12,3.7,Net 45,True
SUP-029,ForgePoint,USA,Cincinnati OH,8,4.0,Net 30,True
SUP-030,HighRidge Mfg,Germany,Frankfurt,19,4.8,Net 60,True
